label,url_length,domain_length,nb_fragments,label_num
phishing,30,22,0,1
phishing,27,19,0,1
phishing,43,34,0,1
phishing,43,34,0,1
phishing,36,27,0,1
phishing,37,28,0,1
phishing,78,58,0,1
phishing,141,18,0,1
phishing,29,20,0,1
phishing,43,35,0,1
phishing,38,19,0,1
phishing,42,33,0,1
phishing,82,42,0,1
phishing,40,32,0,1
phishing,45,27,0,1
phishing,48,39,0,1
phishing,23,15,0,1
phishing,22,14,0,1
phishing,33,22,0,1
phishing,33,22,0,1
phishing,44,18,0,1
phishing,48,26,0,1
phishing,37,14,0,1
phishing,43,35,0,1
phishing,41,19,0,1
phishing,45,36,0,1
phishing,64,56,0,1
phishing,69,61,0,1
phishing,49,41,0,1
phishing,20,12,0,1
phishing,70,18,0,1
phishing,36,28,0,1
phishing,22,14,0,1
phishing,28,20,0,1
phishing,186,164,0,1
phishing,186,164,0,1
phishing,60,38,0,1
phishing,60,38,0,1
phishing,131,109,0,1
phishing,131,109,0,1
phishing,29,21,0,1
phishing,71,19,0,1
phishing,30,16,0,1
phishing,20,11,0,1
phishing,52,31,0,1
phishing,33,22,0,1
phishing,40,31,0,1
phishing,54,24,0,1
phishing,31,22,0,1
phishing,36,19,0,1
phishing,33,24,0,1
phishing,31,22,0,1
phishing,31,22,0,1
phishing,35,26,0,1
phishing,30,21,0,1
phishing,29,21,0,1
phishing,40,31,0,1
phishing,40,32,0,1
phishing,37,29,0,1
phishing,48,21,0,1
phishing,23,15,0,1
phishing,62,23,0,1
phishing,83,37,0,1
phishing,83,37,0,1
phishing,82,37,0,1
phishing,28,10,0,1
phishing,41,32,0,1
phishing,23,7,0,1
phishing,77,68,0,1
phishing,41,32,0,1
phishing,41,32,0,1
phishing,44,35,0,1
phishing,31,23,0,1
phishing,54,45,0,1
phishing,50,41,0,1
phishing,27,19,0,1
phishing,79,7,0,1
phishing,81,36,0,1
phishing,54,25,0,1
phishing,43,25,0,1
phishing,54,44,0,1
phishing,73,58,0,1
phishing,66,50,0,1
phishing,46,38,0,1
phishing,61,43,0,1
phishing,21,13,0,1
phishing,31,12,0,1
phishing,33,24,0,1
phishing,23,9,0,1
phishing,35,26,0,1
phishing,23,9,0,1
phishing,37,29,0,1
phishing,62,53,0,1
phishing,36,27,0,1
phishing,42,34,0,1
phishing,48,40,0,1
phishing,26,17,0,1
phishing,68,34,0,1
phishing,67,31,0,1
phishing,46,37,0,1
phishing,130,109,0,1
phishing,131,109,0,1
phishing,131,109,0,1
phishing,68,46,0,1
phishing,32,23,0,1
phishing,33,16,0,1
phishing,102,30,0,1
phishing,49,34,0,1
phishing,42,34,0,1
phishing,37,28,0,1
phishing,25,9,0,1
phishing,58,28,0,1
phishing,30,22,0,1
phishing,38,30,0,1
phishing,46,38,0,1
phishing,22,14,0,1
phishing,40,32,0,1
phishing,59,22,0,1
phishing,18,10,0,1
phishing,74,52,0,1
phishing,38,30,0,1
phishing,41,32,0,1
phishing,38,30,0,1
phishing,109,37,0,1
phishing,25,17,0,1
phishing,50,28,0,1
phishing,31,22,0,1
phishing,30,22,0,1
phishing,30,21,0,1
phishing,55,18,0,1
phishing,21,13,0,1
phishing,25,17,0,1
phishing,21,13,0,1
phishing,26,18,0,1
phishing,21,13,0,1
phishing,28,20,0,1
phishing,31,23,0,1
phishing,102,34,0,1
phishing,92,18,0,1
phishing,308,11,0,1
phishing,68,21,0,1
phishing,42,33,0,1
phishing,32,23,0,1
phishing,30,22,0,1
phishing,43,29,0,1
phishing,215,29,0,1
phishing,45,29,0,1
phishing,106,34,0,1
phishing,98,37,0,1
phishing,33,13,0,1
phishing,73,52,0,1
phishing,74,52,0,1
phishing,21,13,0,1
phishing,99,27,0,1
phishing,28,19,0,1
phishing,80,7,0,1
phishing,72,43,0,1
phishing,52,30,0,1
phishing,43,34,0,1
phishing,41,32,0,1
phishing,35,26,0,1
phishing,31,22,0,1
phishing,72,22,0,1
phishing,33,14,0,1
phishing,40,31,0,1
phishing,56,47,0,1
phishing,19,11,0,1
phishing,21,13,0,1
phishing,21,13,0,1
phishing,33,22,0,1
phishing,16,8,0,1
phishing,29,14,0,1
phishing,46,38,0,1
phishing,30,22,0,1
phishing,22,14,0,1
phishing,31,22,0,1
phishing,27,18,0,1
phishing,26,18,0,1
phishing,62,54,0,1
phishing,36,28,0,1
phishing,34,26,0,1
phishing,50,18,0,1
phishing,29,21,0,1
